Name,Category,Website,Location,Funding model,Regulatory stance,Capability belief,Influence type,People,Policy efforts,Notes,Related readings,Twitter/X,AI-generated summary,People (Other orgs)
Anthropic,Frontier Lab,,,,,,,,,,,,,
OpenAI,Frontier Lab,,,,,,,,,,,,,
Google DeepMind,Frontier Lab,,,,,,,,,,,,,
Meta AI,Frontier Lab,,,,,,,,,,,,,
xAI,Frontier Lab,,,,,,,,,,,,,
Safe Superintelligence Inc.,Frontier Lab,,,,,,,,,,,,,
Mistral AI,Frontier Lab,,,,,,,,,,,,,
DeepSeek,Frontier Lab,,,,,,,,,,,,,
Center for AI Safety (CAIS),AI Safety/Alignment,,,,,,,,,,,,,
Machine Intelligence Research Institute (MIRI),AI Safety/Alignment,,,,,,,,,,,,,
Alignment Research Center (ARC),AI Safety/Alignment,,,,,,,,,,,,,
Redwood Research,AI Safety/Alignment,,,,,,,,,,,,,
Apollo Research,AI Safety/Alignment,,,,,,,,,,,,,
FAR.AI,AI Safety/Alignment,,,,,,,,,,,,,
Center for Human-Compatible AI (CHAI),AI Safety/Alignment,,,,,,,,,,,,,
Conjecture,AI Safety/Alignment,,,,,,,,,,,,,
BlueDot Impact,AI Safety/Alignment,,,,,,,,,,,,,
Anthropic Institute,AI Safety/Alignment,,,,,,,,,,,,,
Center on Long-Term Risk,AI Safety/Alignment,,,,,,,,,,,,,
Alignment of Complex Systems Research Group,AI Safety/Alignment,,,,,,,,,,,,,
Institute for AI Policy and Strategy (IAPS),Think Tank/Policy Org,,,,,,,,,,,,,
Centre for the Governance of AI (GovAI),Think Tank/Policy Org,,,,,,,,,,,,,
Secure AI Project,Think Tank/Policy Org,,,,,,,,,,,,,
New Consensus,Think Tank/Policy Org,,,,,,,,,,,,,
Center for a New American Security (CNAS),Think Tank/Policy Org,,,,,,,,,,,,,
Center for Security and Emerging Technology (CSET),Think Tank/Policy Org,,,,,,,,,,,,,
Brookings Institution (AI Governance),Think Tank/Policy Org,,,,,,,,,,,,,
RAND Corporation,Think Tank/Policy Org,,,,,,,,,,,,,
AI Now Institute,Think Tank/Policy Org,,,,,,,,,,,,,
Americans for Responsible Innovation,Think Tank/Policy Org,,,,,,,,,,,,,
AI Policy Institute,Think Tank/Policy Org,,,,,,,,,,,,,
Partnership on AI,Think Tank/Policy Org,,,,,,,,,,,,,
Public AI,Think Tank/Policy Org,,,,,,,,,,,,,
Future of Life Institute,Think Tank/Policy Org,,,,,,,,,,,,,
Centre for Long-Term Resilience,Think Tank/Policy Org,,,,,,,,,,,,,
Center for American Progress,Think Tank/Policy Org,,,,,,,,,,,,,
Berggruen Institute,Think Tank/Policy Org,,,,,,,,,,,,,
Foresight Institute,Think Tank/Policy Org,,,,,,,,,,,,,
NIST AI Safety Institute (CAISI),Government/Agency,,,,,,,,,,,,,
White House OSTP,Government/Agency,,,,,,,,,,,,,
European AI Office,Government/Agency,,,,,,,,,,,,,
UK AI Safety Institute,Government/Agency,,,,,,,,,,,,,
FTC (AI enforcement),Government/Agency,,,,,,,,,,,,,
Senate Commerce Committee (AI jurisdiction),Government/Agency,,,,,,,,,,,,,
Stanford HAI,Academic,,,,,,,,,,,,,
Stanford RegLab,Academic,,,,,,,,,,,,,
MIT FutureTech,Academic,,,,,,,,,,,,,
MIT Algorithmic Alignment Group,Academic,,,,,,,,,,,,,
Oxford Future of Humanity Institute (legacy),Academic,,,,,,,,,,,,,
Berkeley CHAI,Academic,,,,,,,,,,,,,
Tsinghua University (AI governance),Academic,,,,,,,,,,,,,
Cambridge Leverhulme Centre for Future of Intelligence,Academic,,,,,,,,,,,,,
Princeton (Narayanan/Kapoor AI Snake Oil),Academic,,,,,,,,,,,,,
Coefficient Giving (fka Open Philanthropy),VC/Capital/Philanthropy,,,,,,,,,,,,,
a16z (Andreessen Horowitz),VC/Capital/Philanthropy,,,,,,,,,,,,,
Founders Fund,VC/Capital/Philanthropy,,,,,,,,,,,,,
Y Combinator,VC/Capital/Philanthropy,,,,,,,,,,,,,
Survival and Flourishing Fund,VC/Capital/Philanthropy,,,,,,,,,,,,,
EA Long-Term Future Fund,VC/Capital/Philanthropy,,,,,,,,,,,,,
Thrive Capital,VC/Capital/Philanthropy,,,,,,,,,,,,,
SAG-AFTRA,Labor/Civil Society,,,,,,,,,,,,,
American Federation of Teachers,Labor/Civil Society,,,,,,,,,,,,,
Writers Guild of America,Labor/Civil Society,,,,,,,,,,,,,
Fairly Trained,Labor/Civil Society,,,,,,,,,,,,,
Data Workers' Inquiry,Labor/Civil Society,,,,,,,,,,,,,
ControlAI,Labor/Civil Society,,,,,,,,,,,,,
PauseAI,Labor/Civil Society,,,,,,,,,,,,,
Transformer (newsletter),Media/Journalism,,,,,,,,,,,,,
Tarbell Center for AI Journalism,Media/Journalism,,,,,,,,,,,,,
Time (AI coverage),Media/Journalism,,,,,,,,,,,,,
CSIS AI Policy Podcast,Media/Journalism,,,,,,,,,,,,,
New Consensus (Saikat Chakrabarti),Political Campaign/PAC,,,,,,,,,,,,,
Alex Bores campaign,Political Campaign/PAC,,,,,,,,,,,,,
