id,name,category,importance,rationale
708,Leading the Future,Political Campaign/PAC,5,$125M super PAC — defining pro-AI-industry political vehicle; anchors the pro-deregulation coalition in AI policy; direct decision-making power on AI elections.
1439,Public First Action,Political Campaign/PAC,5,$20M Anthropic-funded counterforce to Leading the Future; bipartisan (Carson + Stewart) AI-safety advocacy; defines pro-regulation side of PAC war.
1039,Republican Party,Political Campaign/PAC,4,Major national party confronting AI fracture (state GOPs vs WH); decision-making power at scale.
1040,Democratic Party,Political Campaign/PAC,4,Major national party; launched House Democratic Commission on AI; decision-making power at scale.
709,Think Big,Political Campaign/PAC,4,Dem-aligned sister PAC to Leading the Future; $10.5M; opposed Bores; network node.
710,American Mission,Political Campaign/PAC,3,"LTF-aligned GOP super PAC; backed 6 TX/NC candidates; network node, narrower reach."
711,Defending Our Values PAC,Political Campaign/PAC,3,Public First Action-affiliated GOP PAC; AI-safety-side GOP candidate support.
712,Jobs and Democracy PAC,Political Campaign/PAC,3,"Public First Action-affiliated Dem PAC; backed Foushee, Bores, Allred."
1118,National Republican Senatorial Committee,Political Campaign/PAC,2,Major Senate GOP committee; some AI-ad-defending posture but AI-peripheral mandate.
1371,Club for Growth Action,Political Campaign/PAC,2,Conservative super PAC; Thiel-backed; general deregulation stance applies to AI but not AI-specific.
249,Alex Bores campaign,Political Campaign/PAC,1,Single-candidate state assembly campaign; $234K raised; narrow footprint.
713,Dream NYC,Political Campaign/PAC,1,"Tiny PAC ($1,332 spend); pro-safety posture but negligible scale."
728,Nvidia,Infrastructure & Compute,5,92% GPU market share; $4.6T cap; pivotal to every frontier-lab training run; center of U.S.-China chip export debate.
740,TSMC,Infrastructure & Compute,5,Fabricates 90%+ of advanced AI chips globally; Taiwan chokepoint defines U.S.-China AI competition; decision-making power over supply.
1725,ASML,Infrastructure & Compute,5,Monopoly on EUV lithography (<7nm); central to U.S.-China chip export controls; single structural chokepoint for frontier chip production.
1250,AMD,Infrastructure & Compute,4,Main Nvidia competitor in AI accelerators; multi-billion OpenAI + Meta deals; export-controls-affected.
742,Huawei,Infrastructure & Compute,4,"China's leading AI-chip answer (Ascend, CloudMatrix); core of China's self-sufficiency push against export controls."
1377,SpaceX,Infrastructure & Compute,4,Merged with xAI (Feb 2026) → $1.25T Orbital Intelligence; Starlink space-based AI data centers; Musk political weight.
746,Arm,Infrastructure & Compute,3,50% hyperscaler compute (2025); edge-AI + datacenter chip IP; major AI-compute enabler.
737,Qualcomm,Infrastructure & Compute,3,Leader in on-device/edge AI inference; major IP + partnerships; less central than Nvidia/AMD.
727,Cloudflare,Infrastructure & Compute,3,'Pay-per-crawl' AI-content economy move; Workers AI platform; policy voice on AI bots + content.
1347,Helion Energy,Infrastructure & Compute,3,First fusion PPA (for Microsoft AI data centers); Altman-backed; AI-energy-demand narrative anchor.
1340,National Infrastructure Fund,Infrastructure & Compute,3,Saudi PIF-linked; $1.2B with Humain; 250MW AI datacenter financing.
1379,Neuralink,Infrastructure & Compute,2,"BCI company, AI-adjacent; ongoing FDA trials; regulatory-gap narrative but not AI-policy-central."
1134,Massachusetts Green High Performance Computing Center,Infrastructure & Compute,2,Multi-university HPC consortium; academic scale; regional relevance.
1257,Yale Center for Research Computing,Infrastructure & Compute,1,Single-university HPC facility; narrow institutional scope.
904,Electronic Frontier Foundation,Ethics/Bias/Rights,5,35-year digital-rights institution; defining voice on AI surveillance + civil-liberties-based AI regulation; tier-1 reach + track record.
905,ACLU,Ethics/Bias/Rights,5,Major civil rights institution; Speech/Privacy/Tech Project leads AI-surveillance + facial-recognition opposition; tier-1 national decision-making influence.
132,Partnership on AI,Ethics/Bias/Rights,4,"141 partners, 19 countries — leading multi-stakeholder AI-ethics convener."
875,DAIR,Ethics/Bias/Rights,4,Gebru's Distributed AI Research Institute — defining AI-ethics-research activist org; coined TESCREAL critique.
903,Algorithmic Justice League,Ethics/Bias/Rights,4,"Buolamwini's org — Gender Shades, Coded Bias; defining anti-algorithmic-bias org."
906,Data & Society,Ethics/Bias/Rights,4,Leading independent AI-research nonprofit; NAIAC working-group chair; NY-based.
907,Center for Democracy & Technology,Ethics/Bias/Rights,4,DC nonprofit AI Governance Lab (Bogen); major Congressional + Commerce AI-policy convener.
1051,Center for Humane Technology,Ethics/Bias/Rights,4,Harris + Raskin; 'Social Dilemma' affiliated; major cultural-critique voice on AI harms.
1054,Signal,Ethics/Bias/Rights,4,Signal Foundation (Whittaker); defining pro-privacy anti-surveillance AI voice; cultural-tech weight.
873,Mozilla Foundation,Ethics/Bias/Rights,4,$1.4B reserves; 55+ AI startup investments; Common Voice; Mozilla AI/Ventures; trustworthy-AI anchor.
1061,Common Sense Media,Ethics/Bias/Rights,4,Major kids-tech ratings org; AI in education/children advocacy (Bruce Reed Head of AI); mainstream reach.
1325,Amnesty International,Ethics/Bias/Rights,4,Major international human-rights org; facial-recognition ban advocacy; global reach + policy weight.
871,Human Rights Watch,Ethics/Bias/Rights,3,Major international human-rights org; Stop Killer Robots co-founder; autonomous-weapons-systems focus (narrower AI scope).
908,ORCAA,Ethics/Bias/Rights,3,Cathy O'Neil's algorithmic-auditing firm; Congressional testimony; 'Weapons of Math Destruction' brand.
