id,name,resource_category,resource_type,resource_author,resource_year,resource_url,notes_head,key_arg
652,Lex Fridman Podcast (AI episodes),AI Capabilities,Podcast,Lex Fridman,2024,https://lexfridman.com/podcast/,"A long-form interview podcast hosted by Lex Fridman featuring in-depth conversations with AI researchers, policymakers, and technologists about artificial intelligence and its societal implications.","Long-form interviews with AI leaders including Altman, Zuckerberg, Musk, Hassabis on capabilities and safety."
668,Crisp and Fuzzy Tasks,AI Capabilities,Essay,Dwarkesh Patel,2025,https://www.dwarkeshpatel.com/p/crisp-and-fuzzy,"Essay distinguishing between ''crisp'' tasks (well-defined, easily measurable) and ''fuzzy'' tasks (ambiguous, judgment-dependent) in the context of AI capabilities and automation.","Distinguishes between tasks AI excels at (crisp, well-defined) vs tasks where human judgment remains essential (fuzzy, context-dependent)."
1806,Scaling Laws for Neural Language Models,AI Capabilities,Academic Paper,"Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, Dario Amodei (OpenAI)",2020,https://arxiv.org/abs/2001.08361,"2020 OpenAI paper by Jared Kaplan, Sam McCandlish, and team (many of whom later co-founded Anthropic) that established the empirical scaling-laws framework. A foundational reference for policy debates about compute governance, export controls, and the inevitability/contingency of capability gains. Widely cited alongside the Chinchilla paper (Hoffmann et al. 2022).","Empirically demonstrates that language model performance follows smooth power-law relationships across model size, dataset size, and training compute. Motivated the large-scale investment in ever-larger models (GPT-3 and successors) by showing predictable capability gains from compute scaling."
545,The AI Index Report 2024,AI Governance,Report,Stanford HAI,2024,https://aiindex.stanford.edu,TEST DATA — Most-cited annual report on AI ecosystem trends,"Comprehensive annual benchmarking of AI progress, investment, policy, and public opinion"
546,Why AI Will Save the World,AI Governance,Essay,Marc Andreessen,2023,https://a16z.com/ai-will-save-the-world,"Essay by Marc Andreessen (June 2023) arguing that AI will be a profoundly positive force for humanity, countering doomer narratives with a case for accelerating AI development.",AI risk is overstated by incumbents seeking regulatory moats; AI will generate enormous prosperity
548,Governing AI: A Blueprint for the Future,AI Governance,Report,RAND Corporation,2024,https://rand.org/ai-governance,TEST DATA — Influential policy blueprint cited by Senate AI Working Group,Proposes tiered governance framework based on AI capability levels
550,NIST AI Risk Management Framework,AI Governance,Report,NIST,2023,https://nist.gov/ai-rmf,TEST DATA — De facto standard for AI risk management in US industry,Voluntary framework for managing AI risks throughout the AI lifecycle
594,SB 53 (CA),AI Governance,Report,,2026,,"California Senate Bill 53, an AI safety bill requiring developers of frontier AI models to implement shutdown capabilities and safety protocols for powerful AI systems.",
608,RAISE Act,AI Governance,Report,,2026,,"The New York Responsible AI Safety and Education (RAISE) Act, signed by Governor Hochul in December 2025, requiring frontier AI developers to publish and comply with safety and security governance plans.",
616,A Guide to the AI Tribes,AI Governance,Substack/Newsletter,Michel Justen,2026,,"Essay by Michel Justen (January 2026) mapping the major ideological factions in AI policy debate — their origins, assumptions, alliances, and conflicts over how AI should be developed and governed.",
