row_num,funder,recipient,amount_usd,citation
1,Andreessen Horowitz,Anduril Industries,4000000000.00,"Anduril Industries is seeking to raise about $4 billion from venture capital firms Thrive Capital ​and Andreessen Horowitz, a person familiar with the matter told Reuters ‌on Tuesday."
2,Andreessen Horowitz,Anduril Industries,8000000000.00,"Palmer Luckey's defense-tech company is in the middle of a multibillion-dollar funding round led by Thrive Capital and Andreessen Horowitz, according to a new report from The Wall Street Journal. A previous report from Bloomberg said the new round could bring as much as $8 billion of capital into th"
3,Andreessen Horowitz,Cynthia Lummis,"","Large donors to Lummis include Andreessen Horowitz, Multicoin Capital, Kraken and Aptos, a blockchain startup launched by former Meta Platforms Inc employees."
4,Andreessen Horowitz,ElevenLabs,"","He has spearheaded investments in ElevenLabs, EliseAI, Flock Safety, Hebbia, Kalshi, Revolut, Sardine, Stripe, and Waymo."
5,Andreessen Horowitz,EliseAI,"","In the last six months alone, Alex led our new investments in Kalshi, EliseAI, and Revolut"
6,Andreessen Horowitz,EliseAI,250000000.00,"EliseAI, the AI company automating complex healthcare and housing systems, today announced its Series E raise of $250 million. The round was led by Andreessen Horowitz (a16z), with participation from new investor Bessemer Venture Partners and existing investors Sapphire Ventures and Navitas Capital."
7,Andreessen Horowitz,KoBold Metals,"",Gates' Breakthrough Energy Ventures and the Andreessen Horowitz venture capital firm participated in the financing.
8,Andreessen Horowitz,Leading the Future,"",Backed by more than $100 million from Top Industry Stakeholders including Andreessen Horowitz and Greg and Anna Brockman
9,Andreessen Horowitz,Mistral AI,"",That's why we're thrilled to announce our Series A investment in Mistral.
10,Andreessen Horowitz,Nicholas Jitkoff,"","To help close this resource gap, we're announcing today the a16z Open Source AI Grant program. We'll support a small group of open source developers through grant funding (not an investment or SAFE note), giving them the opportunity to continue their work without the pressure to generate financial r"
11,Andreessen Horowitz,OpenAI,"","SoftBank co-led the round alongside other investors, including Andreessen Horowitz and D. E. Shaw Ventures, OpenAI said."
12,Andreessen Horowitz,Safe Superintelligence,"","In September 2024, SSI raised $1 billion at a $5 billion valuation from Andreessen Horowitz, Sequoia Capital, DST Global, and SV Angel."
13,Andreessen Horowitz,Safe Superintelligence Inc.,"","Series A Sep 4, 2024 $1.0B Valuation: $5.0B NFDG Ventures (Lead) Andreessen Horowitz Sequoia Capital DST Global SV Angel"
14,Andreessen Horowitz,Stripe,"","He has spearheaded investments in ElevenLabs, EliseAI, Flock Safety, Hebbia, Kalshi, Revolut, Sardine, Stripe, and Waymo."
15,Andreessen Horowitz,Thinking Machines Lab,2000000000.00,"Thinking Machines Lab, the artificial intelligence startup founded by former OpenAI executive Mira Murati, said on Tuesday it has raised about $2 billion at a valuation of $12 billion in a funding round led by venture capital firm Andreessen Horowitz."
16,Andreessen Horowitz,World Labs,"","Big AI funding news: World Labs just secured $1B in AI Funding to build ""world models"" that help AI understand (and generate) persistent 3D environments... alongside Andreessen Horowitz, plus NVIDIA and AMD."
17,Berkeley Existential Risk Initiative,Future of Life Institute,100000.00,"a $100,000 general support grant to the Future of Life Institute (FLI) in Cambridge, Massachusetts."
18,Berkeley Existential Risk Initiative,Machine Intelligence Research Institute,100000.00,"a $100,000 general support grant to the Machine Intelligence Research Institute (MIRI) in Berkeley, California."
