id,name,type,category,edge_count,created_from,edge_types,evidence_snippet,decision
1140,ai@cam,organization,Academic,1,University of Cambridge,subsidiary_of,"ai@cam's mission is to drive a new wave of AI innovation that serves science, citizens, and society. ### The University of Cambridge is home to a dynamic AI community",
1490,AI Research Institute on Interaction for AI assistants (ARIA),organization,Academic,1,Suresh Venkatasubramanian,co_founded_with,"Venkatasubramanian, a professor at Brown University, also serves as the Co-Director of the newly established AI Research Institute on Interaction for AI assistants (ARIA)",
1487,AI Tennessee Initiative,organization,Academic,1,Lynne Parker,founded,Founding Director of the AI Tennessee Initiative,
1194,Allen Institute for AI,organization,Academic,2,University of Washington; Yejin Choi,affiliated; employed_by,"UW-Affiliated Allen Institute for AI (AI2) | She joins Stanford HAI as the Dieter Schwarz Foundation HAI Professor, Professor of Computer Science, and Stanford HAI Senior Fellow from her previous post as senior research manager at the Allen Institute for Artificial Intelligence",
1319,Amii,organization,Academic,1,Mila - Quebec Artificial Intelligence Institute,partner_of,"Since 2017, Mila and its sister institutes, Amii(Alberta) and Vector(Ontario), play a central role in the Pan-Canadian Artificial Intelligence Strategy",
1744,Anca Dragan,person,Academic,1,Center for Human-Compatible AI (CHAI),employed_by,"CHAI's faculty membership includes Russell, Pieter Abbeel and Anca Dragan from Berkeley",
1442,Andrew McAfee,person,Academic,1,Erik Brynjolfsson,collaborator,"best-seller The Second Machine Age: Work, Progress and Prosperity in a Time of Brilliant Technologies, and Machine, Platform, Crowd: Harnessing Our Digital Future",
1275,Angela Virtu,person,Academic,1,American University,employed_by,"Kogod Professor Gwanhoo Lee, an AI innovation and transformation expert, will lead the institute along with Kogod Professor Angela Virtu",
1136,Arthur Spirling,person,Academic,1,Princeton University,employed_by,Arthur Spirling Link is external Director of the Center for Statistics and Machine Learning Class of 1987 Professor of Politics,
1520,Association for Computing Machinery,organization,Academic,1,Partnership on AI,partner_of,Association for Computing Machinery,
1434,AT&T Bell Laboratories,organization,Academic,1,Yann LeCun,employed_by,"After a postdoc at the University of Toronto, he joined AT&T Bell Laboratories in Holmdel, NJ in 1988",
1268,Barton Paulhamus,person,Academic,1,Johns Hopkins University,employed_by,Barton Paulhamus Program Chair Artificial Intelligence,
1190,Baylor College of Medicine,organization,Academic,1,Columbia University,collaborator,"ARNI is a collaboration between Columbia, Baylor College of Medicine, City University of New York, Harvard, Princeton, Howard Hughes Medical Institute, Mila Quebec AI Institute, Tuskegee University, the University of Pennsylvania, and UTHealth Houston",
