id,name,resource_category,importance,rationale
652,Lex Fridman Podcast (AI episodes),AI Capabilities,2,Notable but narrower AI-resource; specialized scope.
668,Crisp and Fuzzy Tasks,AI Capabilities,2,Notable but narrower AI-resource; specialized scope.
1806,Scaling Laws for Neural Language Models,AI Capabilities,5,"2020 OpenAI paper (Kaplan, McCandlish + Anthropic founders) — defined the scaling-laws framework underpinning modern AI strategy."
545,The AI Index Report 2024,AI Governance,1,Narrow/niche/peripheral AI resource (likely duplicate or narrow coverage).
546,Why AI Will Save the World,AI Governance,4,Andreessen June 2023 essay; defining pro-AI-acceleration policy argument.
548,Governing AI: A Blueprint for the Future,AI Governance,1,Narrow/niche/peripheral AI resource (likely duplicate or narrow coverage).
550,NIST AI Risk Management Framework,AI Governance,5,AI RMF 1.0 — de facto U.S. AI-risk standard; cited in all major federal + state AI policy work.
594,SB 53 (CA),AI Governance,4,Wiener's successor to SB 1047 — frontier-AI-shutdown requirements signed into law.
608,RAISE Act,AI Governance,4,Hochul-signed Dec 2025 frontier-AI safety law; NY's SB 1047-equivalent.
616,A Guide to the AI Tribes,AI Governance,2,Notable but narrower AI-resource; specialized scope.
617,The Left is Missing Out on AI,AI Governance,2,Notable but narrower AI-resource; specialized scope.
618,AI 2027 scenario,AI Governance,4,Kokotajlo + Lifland + Larsen AI 2027 forecast — defining AI-timeline document of 2025.
619,AI as Normal Technology,AI Governance,4,Major counter-AI-doom essay framing AI as transformative-but-normal technology.
620,Dignity in a Digital Age,AI Governance,3,Rep. Khanna's 2022 tech-policy book.
621,The Entrepreneurial State,AI Governance,4,Mazzucato 2013; anchor text for state-led innovation + AI-industrial-policy.
622,Power and Progress,AI Governance,4,Nobel-laureate book on AI-and-labor; central AI-economics policy reference.
623,Recoding America,AI Governance,4,Pahlka 2023 — canonical gov-tech text; cited in AI-in-government discourse.
624,Governing the Commons,AI Governance,3,Ostrom 1990 — AI-governance-analogy reference.
626,Techno-Optimist Manifesto,AI Governance,4,Andreessen Oct 2023 manifesto; defining anti-regulation-coalition text.
627,The Internet Con,AI Governance,4,Doctorow 2023 — interoperability-mandates argument; cited in antitrust-AI discourse.
628,Chip War,AI Governance,4,Miller 2022 — defining AI-chip-geopolitics reference; cited in every export-controls debate.
629,Secure AI Project bills tracker,AI Governance,1,Narrow/niche/peripheral AI resource (likely duplicate or narrow coverage).
630,"Dean Ball ""How I Approach AI Policy""",AI Governance,2,Notable but narrower AI-resource; specialized scope.
631,Digitalist Papers Vol. 2,AI Governance,3,Stanford Digital Economy Lab Dec 2025 essay collection.
632,Alex Bores Congressional AI Framework,AI Governance,3,Bores 2026 8-point national AI framework.
633,Trump AI Action Plan (Jan 2025),AI Governance,5,Trump's Jan 2025 AI EO establishing current U.S. AI policy direction.
634,Sacks federal preemption EO (Dec 2025),AI Governance,4,Sacks-orchestrated federal-preemption AI EO; defining state-vs-federal battle.
635,EU AI Act,AI Governance,5,World's first major AI regulation; risk-based framework; defines global AI-compliance ceiling; tier-1 policy reference.
636,New Consensus AI platform,AI Governance,1,Narrow/niche/peripheral AI resource (likely duplicate or narrow coverage).
637,Secure AI Project state bill tracker,AI Governance,1,Narrow/niche/peripheral AI resource (likely duplicate or narrow coverage).
639,Blueprint for an AI Bill of Rights,AI Governance,4,Oct 2022 WH OSTP framework — defining early Biden-admin AI-rights text.
640,"SB 1047 (CA, vetoed)",AI Governance,4,Wiener's landmark frontier-AI-safety bill vetoed by Newsom; defining U.S. state AI-policy moment.
641,Colorado AI anti-discrimination law,AI Governance,4,Colorado SB 24-205 — first comprehensive U.S. state algorithmic-discrimination law.
648,Platformer,AI Governance,3,Casey Newton's major tech/AI newsletter (dup of Platformer org).
